0FLOW THROUGH A HEATED PIPE











0               INLET FLUID VELOCITY                       =      .500E+02
0               REYNOLDS NUMBER                            =      .754E+05
0               FLUID DENSITY                              =      .116E+01
0               LAMINAR VISCOSITY                          =      .185E-04
0*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-       U VELOCITY              
  J
    10       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00    .0128
     9       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .000E+00    .0113
     8       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .000E+00    .0098
     7       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .000E+00    .0082
     6       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .000E+00    .0067
     5       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .000E+00    .0052
     4       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .000E+00    .0037
     3       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .000E+00    .0022
     2       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .500E+02       .000E+00    .0008
0X=              .0000          .1875          .3750          .5625          .7500          .9375         1.1250         1.3125         1.5000
0*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-       V VELOCITY              
  J
    10       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00    .0120
     9       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00    .0105
     8       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00    .0090
     7       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00    .0075
     6       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00    .0060
     5       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00    .0045
     4       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00    .0030
     3       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00    .0015
     2       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00    .0000
0X=              .0938          .2813          .4688          .6563          .8438         1.0313         1.2188         1.4063         1.5938
0*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-       TURBULENCE ENERGY       
  J
    10       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00       .000E+00    .0128
